#{"t_start": 1667833079.959336, "env_id": "abc-asic-v0"}
r,l,t,nd,lev,seq
0.303041,39,77.815163,14446.796875,1402.510498046875,rf -l; b -l; rfz -l; dc2; rfz; b -l; rwz; rs -K 8 -l; rwz; rwz; map_mst; rf -l; b -l; rfz; rfz -l; &ifK3a_ifK3g; rs -K 8 -l; rwz; rwz; rwz; &ifK3a_ifK3g; rf; rfz -l; rs -K 8 -l; rfz -l; rf; map_mst; map_mst; map_mst; rs -K 8 -l; map_mst; dc2; dc2; rw; rf; rfz -l; rs -K 8; rf; b -l
-0.108791,39,144.888007,17465.90625,1845.5655517578125,rf; b -l; rf -l; rfz -l; rw -l; rf -l; rs -K 8; b -l; rs -K 8 -l; b -l; rw; rf; ifraig; b; rw; rw; &ifK3a_ifK3g; &ifK3a_ifK3g; rw; rfz -l; rwz -l; ifraig; rwz -l; &ifK3a_ifK3g; rwz; map_mst; rs -K 8 -l; rw -l; map_mst; b -l; b; rwz -l; map_mst; rfz -l; rf; map_mst; b; rw -l; rwz
0.27894,39,200.680739,14035.9912109375,1493.478759765625,rs -K 8 -l; map_mst; dc2; map_mst; rs -K 8; ifraig; rfz -l; rfz; rw -l; rfz; ifraig; rwz; rs -K 8 -l; &ifK3a_ifK3g; rf; &ifK3a_ifK3g; b; rs -K 8; b -l; rfz -l; rf -l; rs -K 8; rw -l; rwz; rs -K 8 -l; rs -K 8; rf -l; rfz; rs -K 8; rwz; rfz -l; b -l; rfz; rw -l; rwz -l; rfz; rfz -l; rw; rfz
0.315544,39,262.586696,13518.3427734375,1471.94921875,rwz -l; map_mst; dc2; rf; rf -l; &ifK3a_ifK3g; rwz; rwz; rwz -l; rs -K 8; b -l; rfz -l; &ifK3a_ifK3g; rf -l; rwz -l; rs -K 8; rfz; rs -K 8 -l; rfz -l; rfz -l; rfz; dc2; rs -K 8; rwz; dc2; rs -K 8 -l; ifraig; rwz -l; rf; rs -K 8 -l; rs -K 8; dc2; &ifK3a_ifK3g; rs -K 8; rwz; rwz; rs -K 8; rwz -l; rf -l
-0.20791,39,316.438006,15439.4033203125,2274.4423828125,&ifK3a_ifK3g; ifraig; rs -K 8; rs -K 8; rfz; b -l; rfz; dc2; &ifK3a_ifK3g; rf -l; b; dc2; rfz; rw -l; rs -K 8 -l; rs -K 8 -l; rs -K 8; rfz -l; rf; &ifK3a_ifK3g; rs -K 8 -l; rw; rw -l; rw; rs -K 8 -l; b; rs -K 8 -l; dc2; rs -K 8; dc2; rs -K 8 -l; rwz -l; &ifK3a_ifK3g; rfz; map_mst; b; rs -K 8; rw -l; rf -l
-0.162565,39,383.035277,16017.4716796875,2110.05615234375,rf; rf -l; rs -K 8; rwz; rs -K 8 -l; rf; rwz -l; &ifK3a_ifK3g; map_mst; rfz -l; map_mst; map_mst; dc2; rfz -l; rf -l; rs -K 8; rw -l; rfz -l; rwz -l; rf -l; rf; ifraig; rs -K 8; rwz; map_mst; rwz; rfz -l; b -l; b -l; rs -K 8 -l; rw; ifraig; rwz; rf -l; rs -K 8 -l; rw; rf; b -l; rf -l
0.237479,39,411.028214,14640.419921875,1514.1505126953125,rs -K 8; rw -l; rf -l; b; rw; dc2; rwz -l; b -l; dc2; rwz; b -l; rs -K 8; rf; rfz; rf; rfz; b; &ifK3a_ifK3g; rfz; rwz; rs -K 8 -l; &ifK3a_ifK3g; rs -K 8; rwz; rw; rwz; b; rfz -l; b -l; rf -l; rfz; &ifK3a_ifK3g; rw -l; rfz -l; rwz -l; rw -l; b; b; rfz -l
0.178717,39,449.906879,14321.0595703125,1667.20263671875,rwz -l; b -l; rf; b; map_mst; rs -K 8; b; b; rf -l; rfz -l; rf; rs -K 8 -l; dc2; ifraig; rw -l; rs -K 8 -l; rf -l; &ifK3a_ifK3g; &ifK3a_ifK3g; b -l; rw; rwz; b; rs -K 8; rfz -l; rs -K 8 -l; rwz -l; rs -K 8 -l; rfz; rfz -l; rs -K 8; rwz -l; rw -l; rfz -l; &ifK3a_ifK3g; &ifK3a_ifK3g; rfz; rw -l; rwz
0.243727,39,492.250671,14173.16015625,1551.25244140625,dc2; &ifK3a_ifK3g; dc2; map_mst; rf; rs -K 8 -l; dc2; &ifK3a_ifK3g; rw; rf; dc2; b -l; b -l; rw; rwz -l; &ifK3a_ifK3g; rfz; b -l; rw; rfz; &ifK3a_ifK3g; rfz; b -l; rf; rfz -l; rwz -l; b; &ifK3a_ifK3g; dc2; rf -l; rw -l; b; rw; rwz -l; rw -l; rw -l; rw; rfz; rf
0.348875,39,548.590036,13457.689453125,1406.5802001953125,rs -K 8 -l; rfz; rs -K 8; rwz; rw -l; rs -K 8; &ifK3a_ifK3g; rwz; dc2; map_mst; map_mst; rf -l; map_mst; b; rf -l; ifraig; dc2; rs -K 8; b -l; dc2; rf -l; dc2; rfz -l; b -l; rwz; b -l; rfz; dc2; rf; rfz; dc2; rs -K 8 -l; &ifK3a_ifK3g; b; b; rs -K 8; b; ifraig; rfz -l
0.222804,39,581.767107,14614.2919921875,1546.0504150390625,rs -K 8 -l; rw; b -l; rw -l; rwz; rfz; rs -K 8 -l; rfz -l; rs -K 8; rfz -l; rf; rw -l; rfz; rs -K 8 -l; rwz; rfz; rfz; &ifK3a_ifK3g; &ifK3a_ifK3g; dc2; rs -K 8; rwz; rwz -l; rf; rfz; &ifK3a_ifK3g; rwz; rs -K 8 -l; rwz -l; ifraig; rwz; ifraig; rw -l; &ifK3a_ifK3g; b -l; rw; rf; rfz; dc2
0.189384,39,616.12873,14171.759765625,1662.8843994140625,ifraig; rf; rf -l; &ifK3a_ifK3g; rs -K 8; ifraig; rw; rw; &ifK3a_ifK3g; rfz; &ifK3a_ifK3g; rs -K 8; rfz; &ifK3a_ifK3g; b; rwz -l; dc2; &ifK3a_ifK3g; ifraig; rwz; rs -K 8; rfz; rs -K 8 -l; rw -l; rw; rf -l; map_mst; rfz; b -l; &ifK3a_ifK3g; rfz -l; dc2; rwz -l; b -l; rfz; rs -K 8; rf -l; ifraig; rwz -l
0.240928,39,661.809056,13961.8076171875,1580.564208984375,rs -K 8 -l; b; dc2; map_mst; rwz -l; rs -K 8; rw -l; rfz -l; rf -l; rfz; rs -K 8 -l; &ifK3a_ifK3g; rw; dc2; rw -l; rf; rwz -l; dc2; rf -l; ifraig; rf; rs -K 8; rf; rfz; &ifK3a_ifK3g; b; ifraig; dc2; &ifK3a_ifK3g; dc2; rfz; rw -l; rfz -l; rfz -l; rw; dc2; b; b; rf -l
0.222465,39,694.351835,14509.0830078125,1557.939697265625,&ifK3a_ifK3g; rf; rf; rs -K 8 -l; rw; b -l; rfz; ifraig; b; rw; rs -K 8; rf; b -l; rf -l; rf -l; &ifK3a_ifK3g; b -l; &ifK3a_ifK3g; rf; rs -K 8; rs -K 8; ifraig; dc2; rw; &ifK3a_ifK3g; rf -l; rf; rwz; rs -K 8; rs -K 8; rf -l; b; rw; rwz -l; b -l; rwz -l; rwz -l; rfz -l; dc2
0.310424,39,741.262513,14837.7744140625,1351.0894775390625,b -l; rw -l; dc2; b; b; &ifK3a_ifK3g; rf -l; rs -K 8 -l; &ifK3a_ifK3g; b -l; b -l; rfz -l; b; rwz; rs -K 8; rw -l; rw -l; rs -K 8 -l; dc2; map_mst; b; dc2; rf; rs -K 8; dc2; rf; rf; rs -K 8; rf -l; rf -l; rs -K 8; rwz; rs -K 8; rs -K 8; b -l; rwz -l; rf -l; rwz -l; rfz -l
0.114123,39,777.3985,14839.173828125,1735.53955078125,b -l; b -l; rfz -l; &ifK3a_ifK3g; &ifK3a_ifK3g; rf; rwz; &ifK3a_ifK3g; rs -K 8; &ifK3a_ifK3g; &ifK3a_ifK3g; rw; rwz; rfz -l; ifraig; rs -K 8 -l; dc2; rf -l; &ifK3a_ifK3g; rs -K 8; &ifK3a_ifK3g; rf; &ifK3a_ifK3g; rs -K 8; &ifK3a_ifK3g; rw; rfz; map_mst; rfz; b; dc2; rf -l; rw -l; dc2; ifraig; rfz; rf -l; rfz -l; rfz
0.222077,39,831.729558,14309.3955078125,1580.4683837890625,rf -l; rfz; rw; &ifK3a_ifK3g; rwz; b; rwz -l; rs -K 8; rwz; rs -K 8; rf; ifraig; rf; ifraig; rf; rs -K 8 -l; &ifK3a_ifK3g; rs -K 8; &ifK3a_ifK3g; b; &ifK3a_ifK3g; rfz -l; rf; rf -l; rf; rf -l; rfz -l; map_mst; rf; rs -K 8 -l; &ifK3a_ifK3g; rs -K 8; rw; ifraig; dc2; ifraig; rf; rf; rfz -l
0.199325,39,887.944707,14018.4951171875,1660.4500732421875,rf -l; rw; rfz; rfz; &ifK3a_ifK3g; rw -l; dc2; b -l; rfz; dc2; &ifK3a_ifK3g; rwz -l; rfz; b; b -l; rf; rw; rf -l; rf; rf; map_mst; dc2; rwz; dc2; rs -K 8 -l; rf -l; b; rf -l; map_mst; rs -K 8; dc2; rfz -l; rs -K 8 -l; rfz -l; rs -K 8; rs -K 8; rf; rs -K 8; b -l
